Character,Field,Value
Becky McDonald,First appearance,24th August 2005
Becky McDonald,Sec,Low
Becky Palmer,Bigamy committed,False
Becky Palmer,Father,Jeff Palmer
Becky Palmer,Last appearance,16th March 1997
Becky Palmer,No times married,0.0
Becky Palmer,Born,9th December 1982
Becky Palmer,Number of appearances,51
Becky Palmer,Mother,Claire Palmer
Becky Palmer,Duration,1996-1997
Becky Palmer,Played by,Emily Aston
Becky Palmer,Gender,Female
Becky Palmer,First appearance,20th May 1996
Ben Watts,Number of appearances,88
Ben Watts,First appearance,26th December 2001
Ben Watts,Sibling(s),Alice Watts (half-sister)
Ben Watts,Residence,Newcastle
Ben Watts,Played by,Stephen Collins
Ben Watts,No times married,0.0
Ben Watts,Bigamy committed,False
Ben Watts,Duration,2001-2003
Ben Watts,Born,26th December 2001
Ben Watts,Last appearance,1st September 2003
Ben Watts,Father,Curly Watts
Ben Watts,Mother,Emma Watts
Ben Watts,Birthplace,7 Coronation Street
Ben Watts,Gender,Male
Bernard Butler,Sec,Low
Bernard Butler,First appearance,17th November 1969
Bernard Butler,Mother,Fay Butler
Bernard Butler,Duration,1969-1970
Bernard Butler,Occupation,Hairdresser
Bernard Butler,Gender,Male
Bernard Butler,Sic,Other services
Bernard Butler,Number of appearances,37
Bernard Butler,Sibling(s),Sandra Butler
Bernard Butler,Residence,Saddleworth
Bernard Butler,Last appearance,29th June 1970
Bernard Butler,No times married,0.0
Bernard Butler,Bigamy committed,False
Bernard Butler,Father,Terry Butler
Bernard Butler,Played by,Gorden Kaye
Bernie Winter,Occupation,Assistant at Prima DonerWaitress at Roy's Rolls
Bernie Winter,Played by,Jane Hazlegrove
Bernie Winter,Duration,2019 to present
Bernie Winter,Sic,Accommodation & food services
Bernie Winter,Sibling(s),Mike Winter
Bernie Winter,Sec,Low
Bernie Winter,Bigamy committed,False
Bernie Winter,Number of appearances,537 (as of Episode 11557/8)
Bernie Winter,Residence,5 Coronation Street
Bernie Winter,Children,Paul Foreman (1990)Gemma Winter (1990)Kit Green (1993)
Bernie Winter,Gender,Female
Bernie Winter,No times married,0.0
Bernie Winter,First appearance,24th July 2019 (1)
Bert Tilsley,Died,16th January 1984
Bert Tilsley,No times married,1.0
Bert Tilsley,First appearance,29th January 1979
Bert Tilsley,Bigamy committed,False
Bert Tilsley,Children,Brian Tilsley (1958)
Bert Tilsley,Gender,Male
Bert Tilsley,Sec,Low
Bert Tilsley,Played by,Peter Dudley
Bert Tilsley,Sic,Manufacturing
Bert Tilsley,Last appearance,27th July 1983
Bert Tilsley,Born,8th June 1935
Bert Tilsley,Duration,1979-1983
Bert Tilsley,Occupation,Fitter
Bert Tilsley,Number of appearances,221
Bert Tilsley,Spouse(s),Ivy Nelson (1956)
Bert Tilsley,Sibling(s),Trevor Tilsley  Ethel Latimer  Doris Tilsley
Bertie Osbourne,Father,Daniel Osbourne
Bertie Osbourne,Bigamy committed,False
Bertie Osbourne,Gender,Male
Bertie Osbourne,Born,14th January 2019
Bertie Osbourne,Mother,Sinead Tinker
Bertie Osbourne,Number of appearances,144 (as of Episode 11557/8)
Bertie Osbourne,First appearance,14th January 2019
Bertie Osbourne,No times married,0.0
Bertie Osbourne,Birthplace,Weatherfield General
Bertie Osbourne,Duration,2019 to present
Bertie Osbourne,Residence,19a Victoria Street
Bertie Osbourne,Played by,Ellis Blain (2019-2020)Elias Morgan-Smith (2019-2020)Rufus Morgan-Smith (2019 to present)
Bet Lynch,Number of appearances,1979
Bet Lynch,Born,4th May 1940
Bet Lynch,Occupation,Landlady
Bet Lynch,No times married,1.0
Bet Lynch,Mother,Mary Lynch
Bet Lynch,Duration,"1966, 1970-1995, 2002, 2003"
Bet Lynch,Played by,Julie Goodyear
Bet Lynch,Gender,Female
Bet Lynch,Birthplace,Weatherfield
Bet Lynch,First appearance,25th May 1966
Bet Lynch,Last appearance,30th November 2003
Bet Lynch,Residence,Brighton
Bet Lynch,Sic,Real estate activities
Bet Lynch,Children,Martin Downes (1956)
Bet Lynch,Spouse(s),Alec Gilroy (1987)
Bet Lynch,Sec,Medium
Bet Lynch,Bigamy committed,False
Bet Lynch,Father,Patrick Lynch
Beth Sutherland,Sic,Manufacturing
Beth Sutherland,Born,21st November 1974
Beth Sutherland,Children,Craig Tinker (1998)
Beth Sutherland,Sec,Low
Beth Sutherland,First appearance,5th August 2011
Beth Sutherland,Spouse(s),"Darryl ParkinsKirk Sutherland (2015, bigamous)"
Beth Sutherland,Occupation,Machinist
Beth Sutherland,Sibling(s),Arlene Tinker
Beth Sutherland,Number of appearances,988
Beth Sutherland,Residence,Norfolk
Beth Sutherland,Duration,2011-2024
Beth Sutherland,Mother,Nancy Tinker
Beth Sutherland,No times married,1.0
Beth Sutherland,Last appearance,30th August 2024 (1)
Beth Sutherland,Played by,Lisa George
Beth Sutherland,Gender,Female
Beth Sutherland,Bigamy committed,True
Bethany Platt,Sic,Information & communication
Bethany Platt,Number of appearances,1050 (as of Episode 11557/8)
Bethany Platt,Residence,London
Bethany Platt,Sibling(s),Billy Platt (half-brother)  Harry Platt (half-brother)
Bethany Platt,Occupation,Magazine writer
Bethany Platt,Played by,Mia Cookson (2000)  Amy & Emily Walton (2000-2007)  Lucy Fallon (2015 to present)
Bethany Platt,Father,Neil Fearns
Bethany Platt,Mother,Sarah Platt
Bethany Platt,Duration,"2000-2007, 2015-2020, 2023 to present"
Bethany Platt,First appearance,4th June 2000
Bethany Platt,Gender,Female
Bethany Platt,Born,4th June 2000
Bethany Platt,No times married,0.0
Bethany Platt,Bigamy committed,False
Bethany Platt,Sec,Medium
Bethany Platt,Birthplace,Weatherfield
Betsy Swain,Sic,Manufacturing
Betsy Swain,First appearance,28th May 2024
Betsy Swain,Sec,Low
Betsy Swain,Played by,Sydney Martin
Betsy Swain,Born,c.2008
Betsy Swain,No times married,0.0
Betsy Swain,Mother,Becky Swain (biological)Lisa Swain
Betsy Swain,Bigamy committed,False
Betsy Swain,Duration,2024 to present
Betsy Swain,Gender,Female
Betsy Swain,Number of appearances,133 (as of Episode 11557/8)
Betsy Swain,Residence,15a Victoria Street
Betsy Swain,Occupation,Machinist
Betty Williams,Occupation,Barmaid
Betty Williams,Sic,Accommodation & food services
Betty Williams,Last appearance,27th May 2011
Betty Williams,Sibling(s),Maggie Cooke
Betty Williams,Father,Harold Preston
Betty Williams,Played by,Betty Driver
Betty Williams,Born,4th February 1920
Betty Williams,Died,16th April 2012
Betty Williams,Sec,Low
Betty Williams,Children,Gordon Clegg (1950)
Betty Williams,Bigamy committed,False
Betty Williams,Duration,1969-2011
Betty Williams,First appearance,2nd June 1969
Betty Williams,Spouse(s),Cyril TurpinBilly Williams (1995)
Betty Williams,No times married,1.0
Betty Williams,Gender,Female
Betty Williams,Mother,Margaret Preston
Betty Williams,Number of appearances,2734
Betty Williams,Birthplace,"6 Tile Street,Weatherfield"
Bev Unwin,First appearance,24th March 2003
Bev Unwin,Residence,Peak District
Bev Unwin,Gender,Female
Bev Unwin,Sibling(s),Lenny Baker
Bev Unwin,Born,c.1955
Bev Unwin,Last appearance,15th July 2015
Bev Unwin,Bigamy committed,False
Bev Unwin,No times married,1.0
Bev Unwin,Duration,"2003-2004, 2005-2006, 2015"
Bev Unwin,Spouse(s),Jimmy Unwin
Bev Unwin,Occupation,Barmaid
Bev Unwin,Number of appearances,376
Bev Unwin,Played by,Susie Blake
Bev Unwin,Sec,Low
Bev Unwin,Sic,Accommodation & food services
Bev Unwin,Children,Shelley Unwin (1973)  Sharon Unwin
Bill Webster,Father,Jim Webster
Bill Webster,Born,2nd November 1942
Bill Webster,Sec,Low
Bill Webster,Occupation,Builder (Retired)
Bill Webster,Bigamy committed,False
Bill Webster,Mother,Helen Webster
Bill Webster,Duration,"1984-1985, 1995-1997, 2006-2011"
Bill Webster,Died,April 2023
Bill Webster,Number of appearances,558
Bill Webster,Children,Kevin Webster (1965)  Debbie Webster (1968)  Carl Webster (1986)
Bill Webster,Sic,Construction
Bill Webster,Gender,Male
Bill Webster,Last appearance,29th December 2011
Bill Webster,No times married,3.0
Bill Webster,Played by,Peter Armitage
Bill Webster,First appearance,6th February 1984
Bill Webster,Spouse(s),Alison Cartwright (1964)  Elaine Prior (1985)  Maureen Elliott (1998)
Bill Webster,Residence,Germany
Billy Mallett,Sibling(s),Becky Mallett
Billy Mallett,Gender,Male
Billy Mallett,Played by,Lewis Ablett
Billy Mallett,Born,25th December 1998
Billy Mallett,No times married,0.0
Billy Mallett,Bigamy committed,False
Billy Mallett,Number of appearances,63
Billy Mallett,Last appearance,1st October 2000
Billy Mallett,Father,Gary Mallett
Billy Mallett,Mother,Judy Mallett
Billy Mallett,Birthplace,Weatherfield
Billy Mallett,Residence,Blackpool
Billy Mallett,Duration,1998-2000
Billy Mallett,First appearance,25th December 1998
Billy Mayhew,Number of appearances,982 (as of Episode 11557/8)
Billy Mayhew,Gender,Male
Billy Mayhew,Played by,Daniel Brocklebank
Billy Mayhew,Spouse(s),Paul Foreman (2023)
Billy Mayhew,Mother,Sandra Mayhew
Billy Mayhew,Occupation,Archdeacon
Billy Mayhew,Sic,Education
Billy Mayhew,No times married,1.0
Billy Mayhew,Duration,2014 to present
Billy Mayhew,Father,Fred Mayhew
Billy Mayhew,Sec,High
Billy Mayhew,Sibling(s),Lee Mayhew
Billy Mayhew,First appearance,5th December 2014
Billy Mayhew,Born,23rd February 1979
Billy Mayhew,Residence,19a Rosamund Street
Billy Mayhew,Bigamy committed,False
Billy Walker,Sec,Low
Billy Walker,Played by,Kenneth Farrington
Billy Walker,No times married,0.0
Billy Walker,First appearance,27th January 1961
Billy Walker,Father,Jack Walker
Billy Walker,Residence,Jersey
Billy Walker,Sic,"Wholesale, retail & repair of motor vehicles"
Billy Walker,Birthplace,Weatherfield
Billy Walker,Occupation,Mechanic
Billy Walker,Sibling(s),Joan Davies
Billy Walker,Duration,"1961, 1962, 1963, 1964, 1969, 1970-1971, 1972-1973, 1974-1975, 1977, 1978, 1979, 1984"
Billy Walker,Last appearance,5th December 1984
Billy Walker,Number of appearances,405
Billy Walker,Born,8th September 1938
Billy Walker,Mother,Annie Walker
Billy Walker,Gender,Male
Billy Walker,Bigamy committed,False
Billy Williams,Spouse(s),Betty Turpin (1995)
Billy Williams,Bigamy committed,False
Billy Williams,Duration,1995-1997
Billy Williams,Number of appearances,60
Billy Williams,First appearance,8th May 1995
Billy Williams,Last appearance,14th February 1997
Billy Williams,Gender,Male
Billy Williams,Died,3rd November 1997
Billy Williams,Played by,Frank Mills
Billy Williams,Born,18th August 1921
Billy Williams,No times married,1.0
Billy Williams,Children,Phil Williams
Blanche Hunt,Birthplace,Weatherfield
Blanche Hunt,Duration,"1974-1976, 1977, 1978, 1981, 1996, 1997, 1998-2009"
Blanche Hunt,First appearance,19th August 1974
Blanche Hunt,Occupation,Corset maker (retired)
Blanche Hunt,Mother,Iris Linfield
Blanche Hunt,Died,3rd May 2010
Blanche Hunt,Last appearance,11th December 2009
Blanche Hunt,Sic,Manufacturing
Blanche Hunt,Children,Deirdre Hunt (1955)
Blanche Hunt,No times married,1.0
Blanche Hunt,Sibling(s),Beryl Linfield  Irene Linfield
Blanche Hunt,Played by,Patricia Cutts (1974)  Maggie Jones (1974-2009)
Blanche Hunt,Gender,Female
Blanche Hunt,Bigamy committed,False
Blanche Hunt,Number of appearances,844
Blanche Hunt,Born,22nd January 1936
Blanche Hunt,Spouse(s),Donald Hunt (1953)
Blanche Hunt,Sec,Low
Bobbi Lewis,Sibling(s),a sister
Bobbi Lewis,Sic,Manufacturing
Bobbi Lewis,First appearance,20th March 2000
Bobbi Lewis,Sec,Low
Bobbi Lewis,Played by,Naomi Ryan
Bobbi Lewis,Occupation,Factory machinist
Bobbi Lewis,Bigamy committed,False
Bobbi Lewis,No times married,0.0
Bobbi Lewis,Gender,Female
Bobbi Lewis,Number of appearances,134
Bobbi Lewis,Last appearance,5th April 2002
Bobbi Lewis,Duration,2000-2002
Bobby Crawford,Duration,2023 to present
Bobby Crawford,Sic,"Wholesale, retail & repair of motor vehicles"
Bobby Crawford,Bigamy committed,False
Bobby Crawford,Gender,Male
Bobby Crawford,Born,May 2002
Bobby Crawford,Number of appearances,122 (as of Episode 11557/8)
Bobby Crawford,Father,Rob Donovan
Bobby Crawford,Sec,Low
Bobby Crawford,Played by,Jack Carroll
Bobby Crawford,No times married,0.0
Bobby Crawford,First appearance,27th December 2023
Bobby Crawford,Occupation,Underworld sales clerk
Brian Packham,First appearance,15th April 2010
Brian Packham,Bigamy committed,False
Brian Packham,Played by,Peter Gunn
Brian Packham,Born,20th August 1963
Brian Packham,Spouse(s),Margaret Packham
Brian Packham,Occupation,Co-owner of The Kabin
Brian Packham,No times married,1.0
Brian Packham,Gender,Male
Brian Packham,Number of appearances,647 (as of Episode 11557/8)
Brian Packham,Duration,"2010, 2011-2013, 2015, 2016 to present"
Brian Packham,Sec,Medium
Brian Packham,Sic,"Wholesale, retail & repair of motor vehicles"
Brian Packham,Residence,12 Coronation Street
Brian Tilsley,Born,15th October 1958
Brian Tilsley,Last appearance,15th February 1989
Brian Tilsley,Duration,1978-1989
Brian Tilsley,Spouse(s),"Gail Potter (1979, 1988)"
Brian Tilsley,Children,Nick Tilsley (1980)  Sarah Louise Tilsley (1987)
Brian Tilsley,Died,15th February 1989
Brian Tilsley,Sec,Low
Brian Tilsley,Occupation,Mechanic
Brian Tilsley,First appearance,27th December 1978
Brian Tilsley,Mother,Ivy Tilsley
Brian Tilsley,Played by,Christopher Quinten
Brian Tilsley,Bigamy committed,False
Brian Tilsley,Sic,"Wholesale, retail & repair of motor vehicles"
Brian Tilsley,Number of appearances,524
Brian Tilsley,Father,Bert Tilsley
Brian Tilsley,No times married,2.0
Brian Tilsley,Gender,Male
Bryn Winter-Brown,Duration,"2019-2020, 2022 to present"
Bryn Winter-Brown,Mother,Gemma Winter-Brown
Bryn Winter-Brown,Birthplace,"Llandudno, Wales"
Bryn Winter-Brown,Bigamy committed,False
Bryn Winter-Brown,Father,Chesney Winter-Brown
Bryn Winter-Brown,No times married,0.0
Bryn Winter-Brown,Gender,Male
Bryn Winter-Brown,Sibling(s),Joseph Brown (half-brother)  Aled Winter-Brown  Carys Winter-Brown  Llio Winter-Brown
Bryn Winter-Brown,Residence,5 Coronation Street
Bryn Winter-Brown,Played by,Charlotte Holt (2019-2020)  Lily & Lucy Taylor (2019-2020)  Arthur Taylor (2019-2023)  James Holt (2019 to present)
Bryn Winter-Brown,Number of appearances,91 (as of Episode 11557/8)
Bryn Winter-Brown,First appearance,30th October 2019
Bryn Winter-Brown,Born,30th October 2019
Callum Logan,Children,Max Turner (2006)  Harry Platt (2016)
Callum Logan,First appearance,3rd October 2014
Callum Logan,Died,21st September 2015
Callum Logan,Played by,Sean Ward
Callum Logan,Mother,Marion Logan
Callum Logan,Duration,2014-2015
Callum Logan,Bigamy committed,False
Callum Logan,No times married,0.0
Callum Logan,Born,1987
Callum Logan,Gender,Male
Callum Logan,Number of appearances,114
Callum Logan,Last appearance,23rd September 2015
Candice Stowe,First appearance,5th November 1999
Candice Stowe,Bigamy committed,False
Candice Stowe,Father,Bill Stowe
Candice Stowe,Spouse(s),a husband (2007)
Candice Stowe,Duration,1999-2005
Candice Stowe,Sec,Low
Candice Stowe,Gender,Female
Candice Stowe,Mother,Marion Stowe
Candice Stowe,No times married,1.0
Candice Stowe,Born,20th September 1986
Candice Stowe,Sic,Other services
Candice Stowe,Occupation,Hairdresser
Candice Stowe,Played by,Nikki Sanderson
Candice Stowe,Last appearance,7th November 2005
Candice Stowe,Number of appearances,400
Carla Connor,Bigamy committed,False
Carla Connor,Father,Johnny Connor
Carla Connor,Duration,"2006-2016, 2017 to present"
Carla Connor,Spouse(s),"Paul Connor (1999)Tony Gordon (2008)Peter Barlow (2013, 2021)Nick Tilsley (2016)"
Carla Connor,Sec,Medium
Carla Connor,Occupation,Factory manager
Carla Connor,Born,3rd January 1975
Carla Connor,Played by,Alison King
Carla Connor,Sic,Manufacturing
Carla Connor,Mother,Sharon Donovan
Carla Connor,First appearance,1st December 2006
Carla Connor,No times married,4.0
Carla Connor,Residence,15a Victoria Street
Carla Connor,Gender,Female
Carla Connor,Number of appearances,2128 (as of Episode 11557/8)
Carla Connor,Sibling(s),Rob Donovan (half-brother)Aidan Connor (half-brother)Kate Connor (half-sister)
Carys Winter-Brown,Father,Chesney Winter-Brown
Carys Winter-Brown,Bigamy committed,False
Carys Winter-Brown,Born,30th October 2019
Carys Winter-Brown,Played by,James Holt (2019-2020)   Arthur Taylor (2019-2020)  Lily & Lucy Taylor (2019-2022)  Charlotte Holt (2019 to present)
Carys Winter-Brown,Number of appearances,91 (as of Episode 11557/8)
Carys Winter-Brown,Birthplace,"Llandudno, Wales"
Carys Winter-Brown,First appearance,30th October 2019
Carys Winter-Brown,No times married,0.0
Carys Winter-Brown,Mother,Gemma Winter-Brown
Carys Winter-Brown,Gender,Female
Carys Winter-Brown,Duration,"2019-2020, 2022 to present"
Carys Winter-Brown,Sibling(s),Joseph Brown (half-brother)  Aled Winter-Brown  Bryn Winter-Brown  Llio Winter-Brown
Carys Winter-Brown,Residence,5 Coronation Street
Cassie Plummer,Birthplace,Liverpool
Cassie Plummer,First appearance,28th June 2023 (1)
Cassie Plummer,Children,Tyrone Dobbs (1982)
Cassie Plummer,Occupation,Carer
Cassie Plummer,Born,c.1966
Cassie Plummer,Number of appearances,189 (as of Episode 11557/8)
Cassie Plummer,Played by,Claire Sweeney
Cassie Plummer,No times married,0.0
Cassie Plummer,Father,Harold Plummer
Cassie Plummer,Sic,Human health & social work activities
Cassie Plummer,Sec,Low
Cassie Plummer,Mother,Evelyn Plummer
Cassie Plummer,Bigamy committed,False
Cassie Plummer,Duration,2023 to present
Cassie Plummer,Residence,9 Coronation Street
Cassie Plummer,Gender,Female
Cathy Matthews,Born,12th April 1961
Cathy Matthews,First appearance,20th April 2015
Cathy Matthews,Played by,Melanie Hill
Cathy Matthews,Sec,Low
Cathy Matthews,Gender,Female
Cathy Matthews,Sibling(s),Nessa Warner
Cathy Matthews,Occupation,Retail assistant
Cathy Matthews,Spouse(s),Alan Matthews
Cathy Matthews,Last appearance,17th June 2022
Cathy Matthews,Sic,"Wholesale, retail & repair of motor vehicles"
Cathy Matthews,Residence,Scarborough
Cathy Matthews,Duration,2015-2022
Cathy Matthews,Bigamy committed,False
Cathy Matthews,No times married,1.0
Cathy Matthews,Number of appearances,472
Caz Hammond,Gender,Female
Caz Hammond,Bigamy committed,False
Caz Hammond,Duration,2015-2016
Caz Hammond,Last appearance,2nd December 2016
Caz Hammond,Sic,Public admin & defence; social security
Caz Hammond,Played by,Rhea Bailey
Caz Hammond,Number of appearances,72
Caz Hammond,Occupation,Soldier (former)
Caz Hammond,No times married,0.0
Caz Hammond,First appearance,16th November 2015
Caz Hammond,Sec,Low
Chalkie Whitely,Children,Bob Whitely
Chalkie Whitely,Last appearance,3rd August 1983
Chalkie Whitely,Spouse(s),Mary Whitely
Chalkie Whitely,Sec,Low
Chalkie Whitely,Gender,Male
