Character,Birthplace,Children,Duration,Father,Gender,Mother,Number of appearances,Occupation,Played by,Residence,Sec,Sibling(s),Sic,Spouse(s),Born,Died,First appearance,Last appearance,Exit status,Exit date,Start date,Segment,Max segment
Marcus Dent,Stevenage,,"2007-2008, 2011-2014",Ron Dent,Male,Janet Dent,318,"Midwife, formerly a sonographer",Charlie Condou,London,High,,Human health & social work activities,,1977-10-01,,2007-09-07,2014-07-14,Exit,2014-07-14,2011-06-30,2,2
Maria Connor,,Paul Connor (2008)  Liam Connor (2009),2000 to present,Eric Sutherland,Female,Dot Sutherland,2144 (as of Episode 11557/8),Hairdresser  Councillor,Samia Longchambon,5 Victoria Court,,Kirk Sutherland,,Liam Connor (2008)  Pablo Duarte (2016)  Gary Windass (2020),1983-05-05,,2000-05-19,,Alive,2025-06-30,2000-05-19,1,1
Marion Yeats,,Dawn Yeats (1984),1982-1983,,Female,Winifred Willis,103,Shop assistant,Veronica Doran,Bury,Low,,"Wholesale, retail & repair of motor vehicles",Eddie Yeats (1983),1950-12-18,,1982-02-15,1983-12-07,Exit,1983-12-07,1982-02-15,1,1
Mark Casey,,,1989-1991,Tom Casey,Male,Jean Casey,106,MechanicGarage owner,Stuart Wolfenden,,Medium,,"Wholesale, retail & repair of motor vehicles",,1969-10-15,,1989-04-03,1991-11-11,Exit,1991-11-11,1989-04-03,1,1
Mark Redman,,,"1983, 1986, 1991, 1992-1994, 1996, 1999-2000, 2001, 2006",Mike Baldwin,Male,Maggie Redman,158,,Thomas Hawkeswood (1983)  Christopher Oakes (1986)  Michael Bolstridge (1991)  Chris Cook (1992-1996)  Paul Fox (1999-2006),Doncaster,,Danny Baldwin (half-brother)  Adam Barlow (half-brother),,,1983-05-09,,1983-10-31,2006-04-17,Exit,1983-11-01,1983-10-31,1,4
Mark Redman,,,"1983, 1986, 1991, 1992-1994, 1996, 1999-2000, 2001, 2006",Mike Baldwin,Male,Maggie Redman,158,,Thomas Hawkeswood (1983)  Christopher Oakes (1986)  Michael Bolstridge (1991)  Chris Cook (1992-1996)  Paul Fox (1999-2006),Doncaster,,Danny Baldwin (half-brother)  Adam Barlow (half-brother),,,1983-05-09,,1983-10-31,2006-04-17,Exit,1994-06-30,1991-06-30,2,4
Mark Redman,,,"1983, 1986, 1991, 1992-1994, 1996, 1999-2000, 2001, 2006",Mike Baldwin,Male,Maggie Redman,158,,Thomas Hawkeswood (1983)  Christopher Oakes (1986)  Michael Bolstridge (1991)  Chris Cook (1992-1996)  Paul Fox (1999-2006),Doncaster,,Danny Baldwin (half-brother)  Adam Barlow (half-brother),,,1983-05-09,,1983-10-31,2006-04-17,Exit,2001-06-30,1999-06-30,3,4
Mark Redman,,,"1983, 1986, 1991, 1992-1994, 1996, 1999-2000, 2001, 2006",Mike Baldwin,Male,Maggie Redman,158,,Thomas Hawkeswood (1983)  Christopher Oakes (1986)  Michael Bolstridge (1991)  Chris Cook (1992-1996)  Paul Fox (1999-2006),Doncaster,,Danny Baldwin (half-brother)  Adam Barlow (half-brother),,,1983-05-09,,1983-10-31,2006-04-17,Exit,2006-04-17,2006-04-16,4,4
Martha Longhurst,,Lily Longhurst (1926)Harold Longhurst,1960-1964,Jack Hartley,Female,Mary Hartley,299,Cleaner,Lynne Carol,,Low,2 sisters,Administrative & support services,Percy Longhurst (1919),1896-09-02,1964-05-13,1960-12-14,1964-05-13,Death,1964-05-13,1960-12-14,1,1
Martin Cheveski,Canada,,,Ivan Cheveski,Male,Linda Cheveski,34,,Jonathan Caplan,Birmingham,,Paul Cheveski,,,1964-07-01,,1980-06-16,1980-12-31,Exit,1980-12-31,1980-06-16,1,1
Martin Platt,,"David Tilsley (1990)  Nick Tilsley (adoptive, 1991)  Sarah Louise Tilsley (adoptive, 1991)  Charlotte Platt (2006)","1985-2005, 2018",Barry Platt,Male,Barbara Platt,1645,Nurse,Sean Wilson,New Zealand,Medium,a sister,Human health & social work activities,Gail Tilsley (1991),1968-06-02,,1985-01-28,2018-03-26,Exit,2005-06-30,1985-01-28,1,2
Martin Platt,,"David Tilsley (1990)  Nick Tilsley (adoptive, 1991)  Sarah Louise Tilsley (adoptive, 1991)  Charlotte Platt (2006)","1985-2005, 2018",Barry Platt,Male,Barbara Platt,1645,Nurse,Sean Wilson,New Zealand,Medium,a sister,Human health & social work activities,Gail Tilsley (1991),1968-06-02,,1985-01-28,2018-03-26,Exit,2018-03-26,2018-03-25,2,2
Mary Taylor,,Jude Appleton (1984),"2008-2009, 2010 to present",,Female,Maureen Taylor,1091 (as of Episode 11557/8),Assistant at Preston's Petals,Patti Clare,11 Coronation Street,Low,,"Wholesale, retail & repair of motor vehicles",Norris Cole (2017),1970-06-01,,2008-11-26,,Alive,2025-06-30,2008-11-26,1,1
Mason Radcliffe,,,2023-2025,,Male,,114,,Luca Toolan,,,Matty RadcliffeLogan Radcliffe,,,2008-06-01,2025-01-06,2023-09-11,2025-01-06,Death,2025-01-06,2023-09-11,1,1
Matt Ramsden,,Joshua Peacock (2002),"2000-2002, 2006",,Male,,138,Doctor,Stephen Beckett,Sheffield,High,a sister,Human health & social work activities,Charlie Johnson (1992)  Sylvia Ramsden,,,2000-11-22,2006-07-17,Exit,2002-06-30,2000-11-22,1,2
Matt Ramsden,,Joshua Peacock (2002),"2000-2002, 2006",,Male,,138,Doctor,Stephen Beckett,Sheffield,High,a sister,Human health & social work activities,Charlie Johnson (1992)  Sylvia Ramsden,,,2000-11-22,2006-07-17,Exit,2006-07-17,2006-06-30,2,2
Maud Grimes,,Peggy Grimes (1943)  Maureen Grimes (1945),1993-1999,Malcolm Michaelson,Female,Beatrice Michaelson,462,Shop assistant (retired),Elizabeth Bradley,Mayfield Court,Low,,"Wholesale, retail & repair of motor vehicles",Wilfred Grimes,1922-04-01,,1993-04-02,1999-11-01,Exit,1999-11-01,1993-04-02,1,1
Maureen Webster,,,"1993-1997, 2006","Leonard ""Danny"" Kennedy",Female,Maud Grimes,401,Shop assistant,Sherrie Hewson,Germany,Low,Peggy Phillips (half-sister),"Wholesale, retail & repair of motor vehicles",Frank Naylor  Reg Holdsworth (1994)  Fred Elliott (1997)  Bill Webster (1998),1945-01-13,,1993-03-12,2006-12-27,Exit,1997-06-30,1993-03-12,1,2
Maureen Webster,,,"1993-1997, 2006","Leonard ""Danny"" Kennedy",Female,Maud Grimes,401,Shop assistant,Sherrie Hewson,Germany,Low,Peggy Phillips (half-sister),"Wholesale, retail & repair of motor vehicles",Frank Naylor  Reg Holdsworth (1994)  Fred Elliott (1997)  Bill Webster (1998),1945-01-13,,1993-03-12,2006-12-27,Exit,2006-12-27,2006-06-30,2,2
Mavis Wilton,Weatherfield,,"1971, 1972, 1973-1997",Tom Riley,Female,Margaret Riley,1788,NewsagentBed and Breakfast Manager,Thelma Barlow,Cartmel,Medium,,Accommodation & food services,Derek Wilton (1988),1937-04-07,,1971-08-11,1997-10-10,Exit,1997-10-10,1971-08-11,1,1
Max Turner,,,2010-2025,Callum Logan,Male,Kylie Platt,889,Trainee hairdresser,Harry McDermott (2010-2020)Paddy Bever (2021-2025),,Low,Lily Platt (half-sister)Harry Platt (half-brother),Other services,,2006-09-05,,2010-08-29,2025-03-12,Exit,2025-03-12,2010-08-29,1,1
Maxine Peacock,,Joshua Peacock (2002),1995-2003,Derek Heavey,Female,Doreen Heavey,662,Hairdresser,Tracy Shaw,,Low,,Other services,Ashley Peacock (1999),1975-11-10,2003-01-13,1995-05-03,2003-01-13,Death,2003-01-13,1995-05-03,1,1
Maya Sharma,,,2003-2004,Dinesh Sharma,Female,Ann Marie Sharma,123,Solicitor,Sasha Behar,,High,,"Professional, scientific & technical activities","Walid Aziz (2004, bigamous)  Muhammad Shalik (2004, bigamous)  Jamal Kambula (2004, bigamous)  3 other husbands (bigamous)",,,2003-09-19,2004-11-24,Exit,2004-11-24,2003-09-19,1,1
Megan Hopkins,,Idris Hopkins,1974-1975,,Female,,42,Shopkeeper,Jessie Evans,,Low,,"Wholesale, retail & repair of motor vehicles",Cledwin Hopkins,,,1974-07-10,1975-02-10,Exit,1975-02-10,1974-07-10,1,1
Mel Morton,,,2007-2008,Jerry Morton,Female,Teresa Bryant,116,Police officer,Emma Edmondson,Stretford,Medium,Jodie Morton  Darryl Morton  Kayleigh Morton  Finlay Bryant (half-brother),Public admin & defence; social security,,1989-04-10,,2007-03-18,2008-10-03,Exit,2008-10-03,2007-03-18,1,1
Michael Bailey,,Glory Bailey (2021),2019 to present,Ed Bailey,Male,Aggie Bailey,465 (as of Episode 11557/8),Junior manager at Underworld,Ryan Russell,3 Coronation Street,Medium,Diana Bailey  James Bailey,Manufacturing,,1990-03-01,,2019-06-12,,Alive,2025-06-30,2019-06-12,1,1
Michael Rodwell,,Gavin Rodwell (1985),2014-2016,Keith Rodwell,Male,,249,"Ice cream man, businessman (formerly)",Les Dennis,,Medium,,Accommodation & food services,Susan Meldrum (divorced)  Gail McIntyre (2015),1955-09-13,2016-11-18,2014-03-24,2016-11-21,Death,2016-11-18,2014-03-24,1,1
Michelle Connor,,Ali Neeson (1992) (biological)  Ryan Connor (1992) (legal son)  Ruairi McDonald (2017),2006-2019,Barry Connor,Female,Helen Connor,1665,Restaurateur  Wedding planner,Kym Marsh,Dublin,,Paul Connor  Liam Connor,,Dean  Steve McDonald (2015),1976-04-21,,2006-04-03,2019-12-27,Exit,2019-12-27,2006-04-03,1,1
Mick Hopwood,,,2002-2003,,Male,,66,Police Constable,Ian Gain,,Medium,,Public admin & defence; social security,,1962-11-11,,2002-10-21,2003-09-03,Exit,2003-09-03,2002-10-21,1,1
Mike Baldwin,London,Danny Baldwin (1960)Mark Redman (1983) Adam Barlow (1988),1976-2006,Frankie Baldwin,Male,Mary Baldwin,2350,Businessman,Johnny Briggs,,High,Harry Baldwin,Financial & insurance activities,Anne Woodley (common-law)Susan Barlow (1986)Jackie Ingram (1991)Alma Halliwell (1992)Linda Sykes (2000),1942-02-16,2006-04-07,1976-10-11,2006-04-07,Death,2006-04-07,1976-10-11,1,1
Minnie Caldwell,Weatherfield,,1960-1976,Bob Carlton,Female,Amy Carlton,987,Mill worker (retired),Margot Bryant,Whaley Bridge,Low,Lettie Carlton,Manufacturing,Armistead Caldwell (1925),1900-09-30,,1960-12-14,1976-04-07,Exit,1976-04-07,1960-12-14,1,1
Moira Pollock,,,2017-2020,,Female,,74,Practice manager of Rosamund Street Medical Centre,Louiza Patikas,,High,,Human health & social work activities,Stuart Pollock,,,2017-07-12,2020-01-06,Exit,2020-01-06,2017-07-12,1,1
Molly Dobbs,,Jack Dobbs (2010),2005-2010,Diggory Compton,Female,,473,Shop assistant,Vicky Binns,,Low,,"Wholesale, retail & repair of motor vehicles",Tyrone Dobbs (2009),1984-10-21,2010-12-06,2005-09-05,2010-12-09,Death,2010-12-06,2005-09-05,1,1
Molly Hardcastle,,,2000-2002,,Female,,80,Practice nurse,Jacqueline Kington,Didsbury,High,Tessa,Human health & social work activities,,,,2000-11-05,2002-05-20,Exit,2002-05-20,2000-11-05,1,1
Myra Booth,,A daughter (1964),"1963-1964, 1968",George Dickinson,Female,,60,Typist,Susan Jameson,,Low,,Administrative & support services,Jerry Booth (1963),,,1963-09-04,1968-02-21,Exit,1964-06-30,1963-09-04,1,2
Myra Booth,,A daughter (1964),"1963-1964, 1968",George Dickinson,Female,,60,Typist,Susan Jameson,,Low,,Administrative & support services,Jerry Booth (1963),,,1963-09-04,1968-02-21,Exit,1968-02-21,1968-02-20,2,2
Natalie Barnes,,Tony Horrocks (1975)Laura Barnes (2001),1997-2000,,Female,,489,Landlady,Denise Welch,Cotswolds,Medium,Deborah Brownlow,Real estate activities,Nick HorrocksDes Barnes (1998),1957-10-12,,1997-02-26,2000-12-31,Exit,2000-12-31,1997-02-26,1,1
Natasha Blakeman,Worsley,Sam Blakeman (2011),"2008-2010, 2020-2021",,Female,,192,Salon owner,Rachel Leskovac,,Medium,A brother  Melissa,Other services,,1981-02-16,2021-10-19,2008-05-12,2021-10-25,Exit,2010-06-30,2008-05-12,1,2
Natasha Blakeman,Worsley,Sam Blakeman (2011),"2008-2010, 2020-2021",,Female,,192,Salon owner,Rachel Leskovac,,Medium,A brother  Melissa,Other services,,1981-02-16,2021-10-19,2008-05-12,2021-10-25,Death,2021-10-19,2020-06-30,2,2
Nathan Cooper,,,2005-2006,,Male,,99,Mechanic,Ray Fearon,,Low,,"Wholesale, retail & repair of motor vehicles",,,,2005-04-01,2006-07-19,Exit,2006-07-19,2005-04-01,1,1
Nick Tilsley,Weatherfield,Sam Blakeman (2011),"1981-1996, 1997-1999, 2002, 2003-2004, 2009-2017, 2018 to present",Brian TilsleyMartin Platt (adoptive),Male,Gail Chadwick,2642 (as of Episode 11557/8),Co-owner of Viaduct Bistro,Warren Jackson (1981-1996)Adam Rickitt (1997-2004)Ben Price (2009 to present),12 Victoria Court,Medium,Sarah Louise PlattDavid Platt (half-brother)Charlotte Platt (adoptive half-sister),Accommodation & food services,"Leanne Battersby (1998, 2013)Carla Connor (2016)Elsa Tilsley (2017)",1980-12-31,,1981-01-05,,Exit,1999-06-30,1981-01-05,1,3
Nick Tilsley,Weatherfield,Sam Blakeman (2011),"1981-1996, 1997-1999, 2002, 2003-2004, 2009-2017, 2018 to present",Brian TilsleyMartin Platt (adoptive),Male,Gail Chadwick,2642 (as of Episode 11557/8),Co-owner of Viaduct Bistro,Warren Jackson (1981-1996)Adam Rickitt (1997-2004)Ben Price (2009 to present),12 Victoria Court,Medium,Sarah Louise PlattDavid Platt (half-brother)Charlotte Platt (adoptive half-sister),Accommodation & food services,"Leanne Battersby (1998, 2013)Carla Connor (2016)Elsa Tilsley (2017)",1980-12-31,,1981-01-05,,Exit,2004-06-30,2002-06-30,2,3
Nick Tilsley,Weatherfield,Sam Blakeman (2011),"1981-1996, 1997-1999, 2002, 2003-2004, 2009-2017, 2018 to present",Brian TilsleyMartin Platt (adoptive),Male,Gail Chadwick,2642 (as of Episode 11557/8),Co-owner of Viaduct Bistro,Warren Jackson (1981-1996)Adam Rickitt (1997-2004)Ben Price (2009 to present),12 Victoria Court,Medium,Sarah Louise PlattDavid Platt (half-brother)Charlotte Platt (adoptive half-sister),Accommodation & food services,"Leanne Battersby (1998, 2013)Carla Connor (2016)Elsa Tilsley (2017)",1980-12-31,,1981-01-05,,Alive,2025-06-30,2009-06-30,3,3
Nicola Rubinstein,,Zack Rubinstein (2018),"2017-2018, 2019",Pat Phelan,Female,Annabel Rubinstein,98,Social Worker,Nicola Thorp,Bristol,Medium,Older half-sister,Human health & social work activities,,1990-05-15,,2017-06-12,2019-02-01,Exit,2019-02-01,2017-06-12,1,1
Nina Lucas,,,2019 to present,Richard Lucas,Female,,515 (as of Episode 11557/8),StudentWaitress at Roy's Rolls,Mollie Gallagher,16a Victoria Street,Low,,Accommodation & food services,,2002-04-24,,2019-11-11,,Alive,2025-06-30,2019-11-11,1,1
Nita Desai,,,1999-2000,Ravi Desai,Female,,122,Shop manager,Rebecca Sarker,,Medium,Vikram Desai,"Wholesale, retail & repair of motor vehicles",a husband,1975-04-30,,1999-01-08,2000-05-19,Exit,2000-05-19,1999-01-08,1,1
Norma Ford,,,"1972-1973, 1974",Jacko Ford,Female,,121,Shop assistant,Diana Davies,,Low,,"Wholesale, retail & repair of motor vehicles",,1945-07-03,,1972-05-29,1974-07-10,Exit,1974-07-10,1972-05-29,1,1
Norris Cole,,,"1994-1997, 1999-2017, 2019-2020",,Male,Eunice Cole,1654,Newsagent (retired),Malcolm Hebden,,Low,Ramsay Clegg (half-brother),"Wholesale, retail & repair of motor vehicles",Myrtle Hargreaves  Angela Hawthorne (1995)  Mary Taylor (2017),1940-03-05,2021-09-15,1994-03-11,2020-06-24,Exit,1997-06-30,1994-03-11,1,3
Norris Cole,,,"1994-1997, 1999-2017, 2019-2020",,Male,Eunice Cole,1654,Newsagent (retired),Malcolm Hebden,,Low,Ramsay Clegg (half-brother),"Wholesale, retail & repair of motor vehicles",Myrtle Hargreaves  Angela Hawthorne (1995)  Mary Taylor (2017),1940-03-05,2021-09-15,1994-03-11,2020-06-24,Exit,2017-06-30,1999-06-30,2,3
Norris Cole,,,"1994-1997, 1999-2017, 2019-2020",,Male,Eunice Cole,1654,Newsagent (retired),Malcolm Hebden,,Low,Ramsay Clegg (half-brother),"Wholesale, retail & repair of motor vehicles",Myrtle Hargreaves  Angela Hawthorne (1995)  Mary Taylor (2017),1940-03-05,2021-09-15,1994-03-11,2020-06-24,Exit,2020-06-24,2019-06-30,3,3
Oliver Battersby,Victoria Court,,2017-2020,Steve McDonald,Male,Leanne Battersby,139,,Toby Catley (2017) Emmanuel & Jeremiah Cheetham (2017-2020),,,Simon Barlow (legal half-brother)Emma Brooker (half-sister)Amy Barlow (half-sister)Ruairi McDonald (half-brother),,,2017-02-20,2020-11-27,2017-02-20,2020-11-27,Death,2020-11-27,2017-02-20,1,1
Owen Armstrong,,Izzy Armstrong (1986)Katy Armstrong (1994),2010-2015,,Male,,547,,Ian Puleston-Davies,Aberdeen,,,,Linda Hancock (divorced),1958-09-20,,2010-06-09,2015-04-15,Exit,2015-04-15,2010-06-09,1,1
Pam Hobsworth,,,"2008-2010, 2011, 2012",,Female,,129,Saleswoman,Kate Anthony,,Low,Diggory Compton,"Wholesale, retail & repair of motor vehicles",Mr Hobsworth  three other husbands,,,2008-07-16,2012-05-03,Exit,2012-05-03,2008-07-16,1,1
Pat Phelan,Liverpool,Nicola Rubinstein (1990),"2013-2014, 2016-2018",,Male,,359,Businessman  Builder,Connor McIntyre,,High,,Construction,Valerie Phelan  Eileen Grimshaw (2017),1963-10-30,2018-05-28,2013-10-02,2018-06-01,Exit,2014-06-30,2013-10-02,1,2
Pat Phelan,Liverpool,Nicola Rubinstein (1990),"2013-2014, 2016-2018",,Male,,359,Businessman  Builder,Connor McIntyre,,High,,Construction,Valerie Phelan  Eileen Grimshaw (2017),1963-10-30,2018-05-28,2013-10-02,2018-06-01,Death,2018-05-28,2016-06-30,2,2
Patrick Tussel,,Luke Tussel  Russell Tussel,2002-2005,,Male,,72,Taxi driver,Trevor Dwyer-Lynch,,Low,,Transport & storage,,1965-06-07,,2002-12-15,2005-01-23,Exit,2005-01-23,2002-12-15,1,1
Paul Clayton,,,"2000, 2001, 2007-2008",Terry Duckworth,Male,Andrea Clayton,113,Chef,"Lee Booth (2000, 2001)  Tom Hudson (2007-2008)",,Medium,Tommy Duckworth (half-brother)  Brad Armstrong (half-brother),Accommodation & food services,,1986-02-16,,2000-11-29,2008-05-25,Exit,2001-06-30,2000-11-29,1,2
Paul Clayton,,,"2000, 2001, 2007-2008",Terry Duckworth,Male,Andrea Clayton,113,Chef,"Lee Booth (2000, 2001)  Tom Hudson (2007-2008)",,Medium,Tommy Duckworth (half-brother)  Brad Armstrong (half-brother),Accommodation & food services,,1986-02-16,,2000-11-29,2008-05-25,Exit,2008-05-25,2007-06-30,2,2
Paul Connor,,,2006-2007,Barry Connor,Male,Helen Connor,103,Businessman,Sean Gallagher,,High,Liam Connor  Michelle Connor,Financial & insurance activities,Carla Donovan (1999),1969-02-01,2007-06-06,2006-09-06,2007-06-06,Death,2007-06-06,2006-09-06,1,1
Paul Foreman,,,"2018, 2019-2024",Denny Foreman,Male,Bernie Winter,605,,Peter Ash,,,Gemma Winter  Kit Green (half-brother),,Billy Mayhew (2023),1990-08-24,2024-09-09,2018-05-11,2024-09-09,Death,2024-09-09,2018-05-11,1,1
Paul Kershaw,,,"2010, 2011-2013",,Male,,179,Firefighter,Tony Hirst,,Medium,,Public admin & defence; social security,Lesley Kershaw (1988),,,2010-12-08,2013-08-21,Exit,2013-08-21,2010-12-08,1,1
Paula Martin,,Isla another child,2018-2020,,Female,,90,Solicitor,Stirling Gallacher,"Redbank Apartments, Victoria Street",High,,"Professional, scientific & technical activities",Tim,1967-07-01,,2018-08-17,2020-06-10,Exit,2020-06-10,2018-08-17,1,1
Penny King,,,2003-2006,,Female,,118,Businesswoman,Pauline Fleming,,High,,"Professional, scientific & technical activities",Preston King,,,2003-08-08,2006-04-17,Exit,2006-04-17,2003-08-08,1,1
Percy Sugden,Weatherfield,,1983-1997,,Male,,982,Caretaker (retired),Bill Waddington,Mayfield Court,Low,Millie Prior,Administrative & support services,Mary Jackson (1946),1922-04-08,,1983-08-22,1997-10-20,Exit,1997-10-20,1983-08-22,1,1
Peter Barlow,Weatherfield,Simon Barlow (2003)  Unnamed stillborn son (2018),"1965-1971, 1973, 1974, 1975, 1977, 1978, 1986, 2000-2003, 2007, 2008-2014, 2015, 2016-2023",Ken Barlow,Male,Valerie Barlow,1911,,Robert Heanue (1965-1970)  Christopher Dormer (1970-1971)  Mark Duncan (1971)  Linus Roache (1973-1975)  Joseph McKenna (1977-1978) David Lonsdale (1986)  Chris Gascoyne (2000-2023),,,Lawrence Cunningham (half-brother) Susan Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother),,"Jessica Midgeley (1990)Lucy Richards (2003)Shelley Unwin (2003, bigamous)Leanne Battersby (2010)  Carla Connor (2013, 2021)",1965-04-05,,1965-04-05,2023-12-26,Exit,1971-06-30,1965-04-05,1,5
Peter Barlow,Weatherfield,Simon Barlow (2003)  Unnamed stillborn son (2018),"1965-1971, 1973, 1974, 1975, 1977, 1978, 1986, 2000-2003, 2007, 2008-2014, 2015, 2016-2023",Ken Barlow,Male,Valerie Barlow,1911,,Robert Heanue (1965-1970)  Christopher Dormer (1970-1971)  Mark Duncan (1971)  Linus Roache (1973-1975)  Joseph McKenna (1977-1978) David Lonsdale (1986)  Chris Gascoyne (2000-2023),,,Lawrence Cunningham (half-brother) Susan Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother),,"Jessica Midgeley (1990)Lucy Richards (2003)Shelley Unwin (2003, bigamous)Leanne Battersby (2010)  Carla Connor (2013, 2021)",1965-04-05,,1965-04-05,2023-12-26,Exit,1975-06-30,1973-06-30,2,5
Peter Barlow,Weatherfield,Simon Barlow (2003)  Unnamed stillborn son (2018),"1965-1971, 1973, 1974, 1975, 1977, 1978, 1986, 2000-2003, 2007, 2008-2014, 2015, 2016-2023",Ken Barlow,Male,Valerie Barlow,1911,,Robert Heanue (1965-1970)  Christopher Dormer (1970-1971)  Mark Duncan (1971)  Linus Roache (1973-1975)  Joseph McKenna (1977-1978) David Lonsdale (1986)  Chris Gascoyne (2000-2023),,,Lawrence Cunningham (half-brother) Susan Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother),,"Jessica Midgeley (1990)Lucy Richards (2003)Shelley Unwin (2003, bigamous)Leanne Battersby (2010)  Carla Connor (2013, 2021)",1965-04-05,,1965-04-05,2023-12-26,Exit,1978-06-30,1977-06-30,3,5
Peter Barlow,Weatherfield,Simon Barlow (2003)  Unnamed stillborn son (2018),"1965-1971, 1973, 1974, 1975, 1977, 1978, 1986, 2000-2003, 2007, 2008-2014, 2015, 2016-2023",Ken Barlow,Male,Valerie Barlow,1911,,Robert Heanue (1965-1970)  Christopher Dormer (1970-1971)  Mark Duncan (1971)  Linus Roache (1973-1975)  Joseph McKenna (1977-1978) David Lonsdale (1986)  Chris Gascoyne (2000-2023),,,Lawrence Cunningham (half-brother) Susan Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother),,"Jessica Midgeley (1990)Lucy Richards (2003)Shelley Unwin (2003, bigamous)Leanne Battersby (2010)  Carla Connor (2013, 2021)",1965-04-05,,1965-04-05,2023-12-26,Exit,2003-06-30,2000-06-30,4,5
Peter Barlow,Weatherfield,Simon Barlow (2003)  Unnamed stillborn son (2018),"1965-1971, 1973, 1974, 1975, 1977, 1978, 1986, 2000-2003, 2007, 2008-2014, 2015, 2016-2023",Ken Barlow,Male,Valerie Barlow,1911,,Robert Heanue (1965-1970)  Christopher Dormer (1970-1971)  Mark Duncan (1971)  Linus Roache (1973-1975)  Joseph McKenna (1977-1978) David Lonsdale (1986)  Chris Gascoyne (2000-2023),,,Lawrence Cunningham (half-brother) Susan Barlow Tracy Barlow (adoptive half-sister) Daniel Osbourne (half-brother),,"Jessica Midgeley (1990)Lucy Richards (2003)Shelley Unwin (2003, bigamous)Leanne Battersby (2010)  Carla Connor (2013, 2021)",1965-04-05,,1965-04-05,2023-12-26,Exit,2023-12-26,2007-06-30,5,5
Phil Jennings,,,1990-1991,,Male,,63,Businessman,Tommy Boyle,,High,,Financial & insurance activities,Valerie Jennings,,,1990-09-19,1991-07-29,Exit,1991-07-29,1990-09-19,1,1
Phil Nail,Scotland,,2005-2006,,Male,,61,Reflexologist,Clive Russell,,Medium,3 older sisters1 younger brother (deceased),Human health & social work activities,,,,2005-08-15,2006-03-27,Exit,2006-03-27,2005-08-15,1,1
Phill Whittaker,,,2021-2022,,Male,Mimi Halliday,80,,Jamie Kenna,6 Copson Avenue,,,,Camilla Perrin  Fiz Stape (2022),1975-12-08,,2021-07-16,2022-07-25,Exit,2022-07-25,2021-07-16,1,1
Phyllis Pearce,Weatherfield,Margaret Whitely (1945),"1982-1983, 1984-1993, 1994-1996",Joshua Grimes,Female,Violet Grimes,505,Cleaner (retired)previously Waitress,Jill Summers,Mayfield Court,Low,A sister  5 other siblings,Other services,Harold Pearce (1946),1921-02-07,,1982-09-20,1996-05-01,Exit,1996-05-01,1982-09-20,1,1
Poppy Morales,,,2008-2009,,Female,,60,Barmaid,Sophiya Haque,,Low,,Accommodation & food services,,,,2008-12-17,2009-06-08,Exit,2009-06-08,2008-12-17,1,1
Rana Habeeb,,,2016-2019,Hassan Habeeb,Female,Saira Habeeb,244,Nurse,Bhavna Limbachia,,Medium,Imran Habeeb,Human health & social work activities,Zeedan Nazir (2016),1991-11-01,2019-03-19,2016-02-19,2019-03-20,Death,2019-03-19,2016-02-19,1,1
Raquel Watts,Eccles,Alice Watts (1997)  Another child (2000),"1991-1996, 2000",Larry Wolstenhulme,Female,Eileen Wolstenhulme,533,Barmaid,Sarah Lancashire,France,Low,Bernice Wolstenhulme  3 other siblings,Accommodation & food services,Norman Watts (1995)  Armand de Beaux (2000),1966-05-26,,1991-01-23,2000-01-02,Exit,1996-06-30,1991-01-23,1,2
Raquel Watts,Eccles,Alice Watts (1997)  Another child (2000),"1991-1996, 2000",Larry Wolstenhulme,Female,Eileen Wolstenhulme,533,Barmaid,Sarah Lancashire,France,Low,Bernice Wolstenhulme  3 other siblings,Accommodation & food services,Norman Watts (1995)  Armand de Beaux (2000),1966-05-26,,1991-01-23,2000-01-02,Exit,2000-01-02,2000-01-01,2,2
Ray Crosby,,A daughter,2019-2021,,Male,,117,Hotelier,Mark Frost,,High,,Accommodation & food services,,1968-01-01,,2019-07-05,2021-11-19,Exit,2021-11-19,2019-07-05,1,1
Ray Langton,"2 Gas Street, Weatherfield",Tracy Langton (1977)Unnamed stillborn son,"1966, 1968-1978, 2005",,Male,Mary Langton,798,Builder,Neville Buswell,,Low,Janice Langton,Construction,Deirdre Hunt (1975)Unnamed second wife,1947-02-18,2005-04-08,1966-02-21,2005-04-10,Exit,1966-06-30,1966-02-21,1,3
Ray Langton,"2 Gas Street, Weatherfield",Tracy Langton (1977)Unnamed stillborn son,"1966, 1968-1978, 2005",,Male,Mary Langton,798,Builder,Neville Buswell,,Low,Janice Langton,Construction,Deirdre Hunt (1975)Unnamed second wife,1947-02-18,2005-04-08,1966-02-21,2005-04-10,Exit,1978-06-30,1968-06-30,2,3
Ray Langton,"2 Gas Street, Weatherfield",Tracy Langton (1977)Unnamed stillborn son,"1966, 1968-1978, 2005",,Male,Mary Langton,798,Builder,Neville Buswell,,Low,Janice Langton,Construction,Deirdre Hunt (1975)Unnamed second wife,1947-02-18,2005-04-08,1966-02-21,2005-04-10,Death,2005-04-08,2005-04-07,3,3
